Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
data,5,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,818,90,88,2,0,97.777778,2.222222,0,0.957407,0.014935,0.12171,4.401377,29.536735,109.929783,123.715892,-13.78611,1.221442,1.374621,-0.153179,105.689295,1.174325,96.142549,0.964912,55,0,0,1,33,0.035088,2,1,0.964912,0.982143,0.953821,0.994684,0.997189,0.977778,0.001874,0.998126,0.022222,0.982716,0.977778,0.978968,0.960738,0.995294,0.975539,0.952381,0.977778,0.001,0,0,0,0,0,3316,110523,13699,97.777778,33.333333,?
data,5,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,818,90,90,0,0,100,0,0,1,0.00174,0.013664,0.512782,3.316001,109.929783,0.358934,109.570848,1.221442,0.003988,1.217454,109.570848,1.217454,99.673488,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,3316,110523,13699,100,33.703704,?
data,6,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.978857,0.009271,0.086952,2.721472,21.009039,111.733776,43.865622,67.868155,1.227844,0.48204,0.745804,109.215108,1.200166,97.745831,0.982456,56,0,0,1,34,0.017544,1,1,0.982456,0.99115,0.976927,0.99742,0.998585,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.989329,0.98015,0.997861,0.992141,0.974828,0.989011,0.001,0,0,0,0,0,3316,110390,13832,98.901099,34.065934,?
data,6,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,88,3,0,96.703297,3.296703,0,0.93517,0.021997,0.147674,6.500354,35.949081,110.586637,28.730095,81.856542,1.215238,0.315715,0.899522,102.392043,1.125187,92.589888,0.982759,57,0.030303,1,0.969697,32,0.017241,1,0.982759,0.982759,0.982759,0.952456,0.999478,0.999708,0.967033,0.021146,0.978854,0.032967,0.96978,0.967033,0.968024,0.945418,0.998713,0.993258,0.92105,0.967033,0.002,0,0,0,0,0,3316,110390,13832,96.703297,33.333333,?
data,6,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.978553,0.007563,0.085617,2.235006,20.842337,110.586637,47.684387,62.902249,1.215238,0.524004,0.691234,108.431621,1.191556,98.051287,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.998433,0.999152,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98933,0.979723,0.998609,0.994685,0.974879,0.989011,0.001,0,0,0,0,0,3316,110390,13832,98.901099,33.333333,?
data,6,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.978553,0.007349,0.085592,2.171666,20.836229,110.586637,68.116605,42.470031,1.215238,0.748534,0.466704,108.47439,1.192026,98.089963,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.996343,0.998143,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98933,0.979723,0.996753,0.979939,0.974879,0.989011,0.002,0,0.015625,0,15.625,0,3316,110390,13832,98.901099,33.333333,?
data,6,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.007386,0.085593,2.182544,20.836319,110.586637,29.291786,81.294851,1.215238,0.321888,0.89335,108.288416,1.189983,97.921792,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998539,0.985152,0.971242,0.989011,0.001,0,0,0,0,0,3316,110390,13832,98.901099,33.333333,?
data,6,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.978193,0.00745,0.085437,2.201514,20.798451,110.586637,9.056559,101.530077,1.215238,0.099523,1.115715,106.765413,1.173246,96.544588,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.004396,0.995604,0.010989,0.989418,0.989011,0.988692,0.986368,0.9997,0.998219,0.96807,0.989011,0.001,0,0,0,0,0,3316,110390,13832,98.901099,33.333333,?
data,6,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,85,6,0,93.406593,6.593407,0,0.869347,0.043777,0.206907,12.936821,50.368576,110.586637,142.554067,-31.96743,1.215238,1.566528,-0.35129,94.061958,1.033648,85.057255,0.982759,57,0.060606,2,0.939394,31,0.017241,1,0.966102,0.982759,0.974359,0.92848,0.992685,0.995561,0.934066,0.045771,0.954229,0.065934,0.937644,0.934066,0.935159,0.895504,0.986845,0.96219,0.853675,0.934066,0.002,0,0,0,0,0,3316,110390,13832,93.406593,33.699634,?
data,6,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.008242,0.086191,2.435635,20.981896,110.586637,25.757937,84.8287,1.215238,0.283054,0.932184,108.108769,1.188008,97.759342,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998539,0.985152,0.971242,0.989011,0.001,0,0,0,0,0,3316,110390,13832,98.901099,33.699634,?
data,6,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20201212.0744,818,90,88,2,0,97.777778,2.222222,0,0.956247,0.014103,0.111557,4.156061,27.072934,109.929783,178.823348,-68.893565,1.221442,1.986926,-0.765484,105.515649,1.172396,95.984588,1,57,0.030303,1,0.969697,32,0,0,0.982759,1,0.991304,0.976206,0.982456,0.985433,0.977778,0.020129,0.979871,0.022222,0.979358,0.977778,0.977752,0.963896,0.985243,0.98581,0.961546,0.977778,0.001,0.001,0,0,0,0,3316,110523,13699,98.888889,34.074074,?
